epoch,accuracy,loss,val_accuracy,val_loss
0,0.034614213,4.083490273544577,0.04399999976158142,3.8473048515319825
1,0.058554437,3.7916271275738165,0.09200000017881393,3.4168517723083496
2,0.11421165,3.477552104701571,0.24400000274181366,2.9606247091293336
3,0.17429094,3.1840294812212053,0.3319999873638153,2.583835681915283
4,0.2548033,2.877742176777199,0.3919999897480011,2.1825078449249267
5,0.28758767,2.7131999495844537,0.492000013589859,1.841573224067688
6,0.3179323,2.5548281550371055,0.5080000162124634,1.8573920650482179
7,0.35117415,2.4161329768932096,0.5720000267028809,1.742383689880371
8,0.38472095,2.338812900120327,0.48399999737739563,1.9617882862091065
9,0.39951205,2.2397129712725747,0.6000000238418579,1.5068928451538086
10,0.4222324,2.163603278186562,0.6639999747276306,1.2484464893341065
11,0.4547118,2.0610726065081626,0.699999988079071,1.069706491470337
12,0.48795363,1.971922558885989,0.6639999747276306,1.205530336380005
13,0.5042696,1.9025611595141885,0.6880000233650208,1.2306178550720215
14,0.5295822,1.813371110122427,0.6759999990463257,1.261405059814453
15,0.537054,1.76783505243003,0.7360000014305115,1.0661377139091492
16,0.55550474,1.7143103475976404,0.7480000257492065,1.055593976020813
17,0.5812748,1.6507706646877078,0.7720000147819519,1.0255090980529784
18,0.58691674,1.6329935373020958,0.6880000233650208,1.5641446800231933
19,0.5968283,1.625306862089175,0.7519999742507935,1.1030152311325074
20,0.6096371,1.569089934534327,0.7559999823570251,1.1070195503234863
21,0.610247,1.5346967198929433,0.800000011920929,0.9144182319641113
22,0.6299177,1.490027710445482,0.7760000228881836,1.1039170241355896
23,0.636322,1.4674546709508567,0.7879999876022339,0.9375875678062439
24,0.6434889,1.4593414985831825,0.7480000257492065,1.1707103691101075
25,0.64440376,1.4107190739930349,0.7760000228881836,1.2747378845214843
26,0.6601098,1.4308808616073658,0.7599999904632568,1.1039417777508498
